DEBUG (org.springframework.beans.factory.support.DefaultListableBeanFactory:478)- Finished creating instance of bean 'log4jInitialization'
DEBUG (org.springframework.context.support.ClassPathXmlApplicationContext:697)- Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@25e0dee5]
DEBUG (org.springframework.beans.factory.support.DefaultListableBeanFactory:248)- Returning cached instance of singleton bean 'lifecycleProcessor'
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:81)- Searching for key 'spring.liveBeansView.mbeanDomain' in [systemProperties]
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:81)- Searching for key 'spring.liveBeansView.mbeanDomain' in [systemEnvironment]
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:103)- Could not find key 'spring.liveBeansView.mbeanDomain' in any property source. Returning [null]
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 114
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 115
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 116
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 117
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 118
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 119
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 120
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 121
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 122
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 123
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 124
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 125
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 126
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 127
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 128
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 129
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 130
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 131
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 132
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 133
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 134
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 135
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 136
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 137
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 138
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 139
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 140
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 141
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 142
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 143
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 144
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 145
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 146
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 147
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 148
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 149
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 150
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 151
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 152
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 153
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 154
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 155
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 156
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 157
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 158
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 159
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 160
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 161
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 162
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 163
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 164
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 165
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 166
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 167
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 168
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 169
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 170
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 171
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 172
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 173
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 174
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 175
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 176
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 177
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 178
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 179
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 180
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 181
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 182
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 183
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 184
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 185
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 186
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 187
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 188
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 189
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 190
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 191
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 192
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 193
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 194
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 195
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 196
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 197
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 198
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 199
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 200
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 201
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 202
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 203
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 204
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 205
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 206
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 207
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 208
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 209
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 210
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 211
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 212
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 213
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 214
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 215
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 216
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 217
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 218
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 219
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 220
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 221
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 222
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 223
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 224
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 225
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 226
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 227
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 228
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 229
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 230
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 231
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 232
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 233
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 234
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 235
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 236
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 237
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 238
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 239
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 240
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 241
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 242
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 243
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 244
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 245
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 246
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 247
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 248
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 249
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 250
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 251
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 252
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 253
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 254
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 255
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 256
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 257
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 258
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 259
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 260
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 261
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 262
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 263
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 264
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 265
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 266
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 267
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 268
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 269
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 270
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 271
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 272
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 273
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 274
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 275
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 276
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 277
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 278
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 279
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 280
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 281
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 282
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 283
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 284
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 285
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 286
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 287
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 288
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 289
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 290
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 291
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 292
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 293
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 294
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 295
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 296
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 297
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 298
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 299
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 300
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 301
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 302
